epoch,global_step,elapsed_s,loss_total,loss_mask,loss_link,loss_sub,sigma_mask,sigma_link,sigma_sub,alpha,lr,grad_norm,link_auc,sub_r2_clust,sub_r2_tri,eff_rank,visits
43,8600,258.0,-0.941828,0.072789,0.497825,0.193799,0.245371,0.696371,0.375291,0.705323,0.00060907,2.304388,0.896775,0.885240,0.903067,41.8170,"{""cora"": 5, ""citeseer"": 5, ""pubmed"": 18, ""ppi"": 27, ""facebook_ego"": 5, ""twitch_en"": 47, ""coauthor_cs"": 18, ""dblp_snap"": 63, ""power_grid"": 6, ""as733"": 6}"
44,8800,263.2,-0.863758,0.076074,0.493935,0.209840,0.246940,0.692334,0.377654,0.705410,0.00059369,2.502909,0.900695,0.889623,0.898047,35.5491,"{""cora"": 7, ""citeseer"": 13, ""pubmed"": 10, ""ppi"": 26, ""facebook_ego"": 6, ""twitch_en"": 42, ""coauthor_cs"": 14, ""dblp_snap"": 64, ""power_grid"": 9, ""as733"": 9}"
45,9000,268.2,-0.918544,0.067544,0.491571,0.214984,0.243524,0.692511,0.376800,0.706216,0.00057822,2.531137,0.904350,0.891559,0.908914,43.5518,"{""cora"": 4, ""citeseer"": 7, ""pubmed"": 19, ""ppi"": 19, ""facebook_ego"": 9, ""twitch_en"": 37, ""coauthor_cs"": 16, ""dblp_snap"": 68, ""power_grid"": 11, ""as733"": 10}"
46,9200,272.9,-0.796706,0.075562,0.494390,0.229357,0.243748,0.694035,0.380788,0.705362,0.00056267,2.934071,0.900107,0.889731,0.902908,42.2843,"{""cora"": 5, ""citeseer"": 6, ""pubmed"": 7, ""ppi"": 24, ""facebook_ego"": 11, ""twitch_en"": 38, ""coauthor_cs"": 16, ""dblp_snap"": 73, ""power_grid"": 9, ""as733"": 11}"
47,9400,277.9,-0.958377,0.071120,0.493214,0.195019,0.243938,0.695022,0.380195,0.706426,0.00054705,2.384502,0.902093,0.889908,0.900374,40.7843,"{""cora"": 5, ""citeseer"": 11, ""pubmed"": 15, ""ppi"": 24, ""facebook_ego"": 8, ""twitch_en"": 44, ""coauthor_cs"": 18, ""dblp_snap"": 60, ""power_grid"": 6, ""as733"": 9}"
48,9600,283.3,-0.884071,0.077502,0.498244,0.199507,0.245756,0.698693,0.379163,0.706927,0.00053140,2.376658,0.896478,0.886523,0.901382,38.8004,"{""cora"": 9, ""citeseer"": 5, ""pubmed"": 10, ""ppi"": 31, ""facebook_ego"": 5, ""twitch_en"": 47, ""coauthor_cs"": 17, ""dblp_snap"": 62, ""power_grid"": 6, ""as733"": 8}"
49,9800,288.5,-0.967398,0.070404,0.490762,0.194959,0.244026,0.691685,0.376698,0.707960,0.00051571,2.314063,0.904261,0.890890,0.903706,39.6556,"{""cora"": 7, ""citeseer"": 3, ""pubmed"": 15, ""ppi"": 24, ""facebook_ego"": 15, ""twitch_en"": 38, ""coauthor_cs"": 21, ""dblp_snap"": 66, ""power_grid"": 8, ""as733"": 3}"
50,10000,294.1,-0.895647,0.073649,0.494162,0.205695,0.243753,0.694108,0.375990,0.708332,0.00050000,2.609990,0.900422,0.889372,0.902504,45.0606,"{""cora"": 8, ""citeseer"": 5, ""pubmed"": 15, ""ppi"": 28, ""facebook_ego"": 5, ""twitch_en"": 48, ""coauthor_cs"": 16, ""dblp_snap"": 55, ""power_grid"": 10, ""as733"": 10}"
51,10200,302.2,-0.767413,0.078088,0.499223,0.230978,0.245372,0.696954,0.381790,0.707931,0.00048429,2.589244,0.894945,0.887090,0.889287,40.1557,"{""cora"": 4, ""citeseer"": 7, ""pubmed"": 13, ""ppi"": 29, ""facebook_ego"": 7, ""twitch_en"": 53, ""coauthor_cs"": 10, ""dblp_snap"": 62, ""power_grid"": 4, ""as733"": 11}"
52,10400,308.2,-0.988851,0.064625,0.495583,0.201727,0.242357,0.695069,0.381842,0.708676,0.00046860,2.299891,0.898706,0.888959,0.901618,44.0901,"{""cora"": 4, ""citeseer"": 7, ""pubmed"": 15, ""ppi"": 17, ""facebook_ego"": 9, ""twitch_en"": 54, ""coauthor_cs"": 15, ""dblp_snap"": 65, ""power_grid"": 5, ""as733"": 9}"
53,10600,313.9,-0.853387,0.077465,0.493385,0.210221,0.243951,0.693359,0.379553,0.708619,0.00045295,2.731393,0.901556,0.890138,0.911475,43.1963,"{""cora"": 8, ""citeseer"": 8, ""pubmed"": 10, ""ppi"": 29, ""facebook_ego"": 4, ""twitch_en"": 44, ""coauthor_cs"": 18, ""dblp_snap"": 62, ""power_grid"": 5, ""as733"": 12}"
